Product ID,Product Title, Merchant ID, Cluster ID, Cluster Label, Category ID, Category Label
1,apple iphone 8 plus 64gb silver,1,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
2,apple iphone 8 plus 64 gb spacegrau,2,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
3,apple mq8n2b/a iphone 8 plus 64gb 5.5 12mp sim free smartphone in gold,3,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
4,apple iphone 8 plus 64gb space grey,4,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
5,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,5,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
6,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,6,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
7,apple iphone 8 plus 64 gb space grey,7,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
8,apple iphone 8 plus 64gb space grey,8,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
9,apple iphone 8 plus 64gb space grey,9,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
10,apple iphone 8 plus 64gb space grey,10,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
11,apple iphone 8 plus 5.5 single sim 4g 64gb silver,11,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
12,sim free iphone 8 plus 64gb by apple space grey,12,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
13,apple iphone 8 plus 64gb gold smartphone,13,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
14,apple iphone 8 plus 5.5 single sim 4g 64gb grey,14,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
15,apple iphone 8 plus silver 5.5 64gb 4g unlocked sim free,15,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
16,apple iphone 8 plus 64 gb silver,16,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
17,apple iphone 8 plus 64gb silver unlocked,17,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
18,apple iphone 8 plus 14 cm 5.5 64 gb 12 mp ios 11 silver,18,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
19,iphone 8 plus sim free water dust resistant 64gb silver by apple,19,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
20,iphone 8 plus 64gb space grey,20,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
21,apple iphone 8 plus,21,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
22,sim free iphone 8 plus 64gb mobile phone space grey,22,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
